Timestamp,If you give your consent to take part please click 'I agree' below.,Please enter your Prolific ID,Which region did you spend most of your time before turning 18?,Select the cultures that you mostly associate yourself with. Choose multiple cultures if your daily life is influenced by more than one culture.,Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Convenient foods in your country (easy to prepare or buy)],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Commonly eaten foods in your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Healthy foods in your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [House numbers in your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [National dish of your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Most common languages spoken in your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Major religions practiced in your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Currency used in your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Holidays and festivals celebrated in your country],"According to the instructions, what does Rank 1 mean?",Choose the question from the following list whose answer you think would be the most different across different countries. ,How confident are you in your rankings?,"Did you enjoy the study? Provide your rating on a scale of 1 to 5 stars, where 1 indicates did not enjoy and 5 indicates you loved participating in the study."
9/11/25 10:46,I agree,30,France,"French (Canada, France)",8,9 (Least Common),1 (Most Common),4,7,3,2,5,6,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Somewhat confident,3
9/10/25 21:37,I agree,31,India,"Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, United Arab Emirates, Yemen), English (Australia, Canada, United Kingdom, USA), Indo-Iranian (Bangladesh, India, Iran, Pakistan, Sri Lanka)",2,5,1 (Most Common),7,9 (Least Common),6,3,8,4,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Somewhat confident,5
9/10/25 21:48,I agree,32,India,"Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, United Arab Emirates, Yemen), English (Australia, Canada, United Kingdom, USA), Indo-Iranian (Bangladesh, India, Iran, Pakistan, Sri Lanka)",6,5,4,1 (Most Common),3,8,2,9 (Least Common),7,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,5
9/11/25 15:02,I agree,33,India,"English (Australia, Canada, United Kingdom, USA), Indo-Iranian (Bangladesh, India, Iran, Pakistan, Sri Lanka)",1 (Most Common),4,3,7,8,5,2,9 (Least Common),6,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,4
9/11/25 10:12,I agree,34,India,"Indo-Iranian (Bangladesh, India, Iran, Pakistan, Sri Lanka)",1 (Most Common),3,2,4,8,6,5,9 (Least Common),7,Most common across countries,Currency – The main currency used in your country.,Very confident,5
9/11/25 8:11,I agree,35,Indonesia,"Chinese, Indonesian",2,7,6,5,4,9 (Least Common),1 (Most Common),8,3,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,3
9/11/25 8:21,I agree,36,Indonesia,"Chinese, Indonesian",1 (Most Common),3,4,2,5,6,8,9 (Least Common),7,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,3
9/11/25 8:36,I agree,37,Indonesia,Indonesian,6,7,4,1 (Most Common),5,9 (Least Common),2,8,3,Most common across countries,Currency – The main currency used in your country.,Very confident,5
9/11/25 12:41,I agree,38,Indonesia,Indonesian,3,2,4,1 (Most Common),6,7,8,9 (Least Common),5,Most common across countries,Currency – The main currency used in your country.,Very confident,5
9/11/25 8:54,I agree,39,Japan,"English (Australia, Canada, United Kingdom, USA), Japanese",1 (Most Common),3,2,4,6,9 (Least Common),5,8,7,Most common across countries,Languages – The most widely spoken languages in your country.,Very confident,5
9/11/25 8:58,I agree,40,Japan,"English (Australia, Canada, United Kingdom, USA), Japanese",1 (Most Common),4,3,2,7,8,6,9 (Least Common),5,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,5
9/11/25 10:23,I agree,41,Japan,"English (Australia, Canada, United Kingdom, USA), Japanese",1 (Most Common),3,2,6,4,8,5,9 (Least Common),7,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,3
9/11/25 9:41,I agree,42,Japan,Japanese,1 (Most Common),4,5,7,9 (Least Common),6,2,8,3,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Not confident,3
9/11/25 10:19,I agree,43,Japan,Japanese,1 (Most Common),4,5,3,6,9 (Least Common),2,8,7,Most common across countries,Holidays and festivals – The holidays and festivals celebrated in your country.,Somewhat confident,4
9/11/25 8:22,I agree,44,Mexico,"English (Australia, Canada, United Kingdom, USA), Spanish (Argentina, Mexico, Spain)",2,5,3,1 (Most Common),8,4,6,9 (Least Common),7,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,3
9/11/25 8:16,I agree,45,Mexico,"Spanish (Argentina, Mexico, Spain)",7,5,3,6,1 (Most Common),2,4,9 (Least Common),8,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,2
9/11/25 8:21,I agree,46,Mexico,"Spanish (Argentina, Mexico, Spain)",6,7,5,2,8,4,1 (Most Common),9 (Least Common),3,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Very confident,5
9/11/25 8:23,I agree,47,Mexico,"Spanish (Argentina, Mexico, Spain)",1 (Most Common),6,2,7,8,4,3,9 (Least Common),5,Most common across countries,Currency – The main currency used in your country.,Very confident,4
9/11/25 9:16,I agree,48,Mexico,"Spanish (Argentina, Mexico, Spain)",2,5,3,1 (Most Common),8,7,4,9 (Least Common),6,Most common across countries,Currency – The main currency used in your country.,Very confident,5
9/11/25 8:17,I agree,49,"Niger-Congo (Benin, Burkina Faso, Cameroon, Cote d'Ivoire, Gambia, Ghana, Guinea, Liberia, Nigeria, Senegal, Sierra Leone, Togo)","English (Australia, Canada, United Kingdom, USA), Niger-Congo (Benin, Burkina Faso, Cameroon, Cote d'Ivoire, Gambia, Ghana, Guinea, Liberia, Nigeria, Senegal, Sierra Leone, Togo)",7,8,5,2,9 (Least Common),1 (Most Common),3,4,6,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,4
9/11/25 8:26,I agree,50,"Niger-Congo (Benin, Burkina Faso, Cameroon, Cote d'Ivoire, Gambia, Ghana, Guinea, Liberia, Nigeria, Senegal, Sierra Leone, Togo)","English (Australia, Canada, United Kingdom, USA), Niger-Congo (Benin, Burkina Faso, Cameroon, Cote d'Ivoire, Gambia, Ghana, Guinea, Liberia, Nigeria, Senegal, Sierra Leone, Togo)",4,1 (Most Common),3,2,5,6,7,9 (Least Common),8,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,5
9/11/25 8:24,I agree,51,"Niger-Congo (Benin, Burkina Faso, Cameroon, Cote d'Ivoire, Gambia, Ghana, Guinea, Liberia, Nigeria, Senegal, Sierra Leone, Togo)","Niger-Congo (Benin, Burkina Faso, Cameroon, Cote d'Ivoire, Gambia, Ghana, Guinea, Liberia, Nigeria, Senegal, Sierra Leone, Togo)",2,3,4,5,9 (Least Common),6,8,1 (Most Common),7,Most common across countries,Holidays and festivals – The holidays and festivals celebrated in your country.,Somewhat confident,5
9/11/25 8:30,I agree,52,"Niger-Congo (Benin, Burkina Faso, Cameroon, Cote d'Ivoire, Gambia, Ghana, Guinea, Liberia, Nigeria, Senegal, Sierra Leone, Togo)","Niger-Congo (Benin, Burkina Faso, Cameroon, Cote d'Ivoire, Gambia, Ghana, Guinea, Liberia, Nigeria, Senegal, Sierra Leone, Togo)",1 (Most Common),3,2,5,7,8,4,9 (Least Common),6,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,4
9/11/25 8:40,I agree,53,Other,"English (Australia, Canada, United Kingdom, USA)",1 (Most Common),4,5,6,2,7,8,3,9 (Least Common),Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Very confident,5
9/11/25 12:57,I agree,54,Other,Other,1 (Most Common),2,3,8,7,5,4,9 (Least Common),6,Most common across countries,Currency – The main currency used in your country.,Very confident,5
9/11/25 10:20,I agree,55,Russia,"English (Australia, Canada, United Kingdom, USA), French (Canada, France), Russian",3,5,2,1 (Most Common),7,8,4,6,9 (Least Common),Most common across countries,Currency – The main currency used in your country.,Somewhat confident,3
9/11/25 12:24,I agree,56,Russia,"English (Australia, Canada, United Kingdom, USA), Russian",4,3,2,1 (Most Common),5,8,6,9 (Least Common),7,Most common across countries,Languages – The most widely spoken languages in your country.,Very confident,5
9/11/25 10:57,I agree,57,Russia,Russian,2,1 (Most Common),4,3,7,6,5,9 (Least Common),8,Most common across countries,Holidays and festivals – The holidays and festivals celebrated in your country.,Somewhat confident,5
9/11/25 11:06,I agree,58,Russia,"Russian, Other",8,7,6,2,9 (Least Common),4,1 (Most Common),5,3,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Somewhat confident,4
9/11/25 9:24,I agree,59,Sweden,"Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, United Arab Emirates, Yemen), Swedish",2,6,5,3,7,8,1 (Most Common),9 (Least Common),4,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,4
9/11/25 8:16,I agree,60,Sweden,"English (Australia, Canada, United Kingdom, USA), Japanese, Swedish",1 (Most Common),4,3,2,8,7,6,9 (Least Common),5,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,4
9/11/25 9:06,I agree,61,Sweden,"English (Australia, Canada, United Kingdom, USA), Swedish",2,1 (Most Common),3,7,9 (Least Common),6,4,8,5,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Not confident,4
9/11/25 8:19,I agree,62,Sweden,Swedish,4,3,5,2,6,8,1 (Most Common),9 (Least Common),7,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Somewhat confident,4
9/11/25 8:51,I agree,63,Sweden,Swedish,6,4,5,7,2,9 (Least Common),8,3,1 (Most Common),Most common across countries,Languages – The most widely spoken languages in your country.,Somewhat confident,3
9/11/25 8:17,I agree,64,"Turkic (Kazakhstan, Kyrgyzstan, Turkey, Uzbekistan)","English (Australia, Canada, United Kingdom, USA), Turkic (Kazakhstan, Kyrgyzstan, Turkey, Uzbekistan)",1 (Most Common),2,3,4,6,8,7,9 (Least Common),5,Most common across countries,Currency – The main currency used in your country.,Not confident,1
9/11/25 8:53,I agree,65,"Turkic (Kazakhstan, Kyrgyzstan, Turkey, Uzbekistan)","English (Australia, Canada, United Kingdom, USA), Turkic (Kazakhstan, Kyrgyzstan, Turkey, Uzbekistan), Other",4,6,3,5,1 (Most Common),8,2,9 (Least Common),7,Most common across countries,Common foods – Foods that are regularly eaten in your country.,Very confident,5
9/11/25 9:54,I agree,66,"Turkic (Kazakhstan, Kyrgyzstan, Turkey, Uzbekistan)",Other,1 (Most Common),4,2,5,8,6,3,9 (Least Common),7,Most common across countries,Currency – The main currency used in your country.,Not confident,4
9/11/25 8:11,I agree,67,"Turkic (Kazakhstan, Kyrgyzstan, Turkey, Uzbekistan)","Turkic (Kazakhstan, Kyrgyzstan, Turkey, Uzbekistan)",1 (Most Common),5,7,2,6,8,4,9 (Least Common),3,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,4
9/11/25 8:21,I agree,68,"Turkic (Kazakhstan, Kyrgyzstan, Turkey, Uzbekistan)","Turkic (Kazakhstan, Kyrgyzstan, Turkey, Uzbekistan)",2,3,1 (Most Common),4,9 (Least Common),7,6,5,8,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,3
9/11/25 8:24,I agree,69,UK,"Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, United Arab Emirates, Yemen), English (Australia, Canada, United Kingdom, USA)",6,5,3,1 (Most Common),8,7,2,9 (Least Common),4,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,3
9/11/25 8:19,I agree,70,UK,"English (Australia, Canada, United Kingdom, USA)",4,2,3,1 (Most Common),8,7,5,9 (Least Common),6,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Somewhat confident,5
9/11/25 8:27,I agree,71,UK,"English (Australia, Canada, United Kingdom, USA)",5,6,7,4,8,1 (Most Common),2,9 (Least Common),3,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,5
9/11/25 12:38,I agree,72,UK,"English (Australia, Canada, United Kingdom, USA)",1 (Most Common),3,4,8,5,2,7,9 (Least Common),6,Most common across countries,Currency – The main currency used in your country.,Very confident,4
9/11/25 12:45,I agree,73,UK,"English (Australia, Canada, United Kingdom, USA)",1 (Most Common),5,6,3,8,2,7,9 (Least Common),4,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Somewhat confident,2
9/11/25 8:10,I agree,74,USA,"English (Australia, Canada, United Kingdom, USA)",5,7,6,2,8,1 (Most Common),3,4,9 (Least Common),Most common across countries,Holidays and festivals – The holidays and festivals celebrated in your country.,Somewhat confident,4
9/11/25 8:12,I agree,75,USA,"English (Australia, Canada, United Kingdom, USA)",2,4,5,1 (Most Common),8,3,9 (Least Common),7,6,Most common across countries,Religions – The major religions practiced in your country.,Somewhat confident,4
9/11/25 8:16,I agree,76,USA,"English (Australia, Canada, United Kingdom, USA)",6,7,5,9 (Least Common),8,2,3,1 (Most Common),4,Most common across countries,Currency – The main currency used in your country.,Not confident,3
9/11/25 8:17,I agree,77,USA,"English (Australia, Canada, United Kingdom, USA)",1 (Most Common),2,3,5,4,7,8,9 (Least Common),6,Most common across countries,Currency – The main currency used in your country.,Very confident,4
9/11/25 15:42,I agree,78,China,"Chinese, English (Australia, Canada, United Kingdom, USA)",4,6,2,1 (Most Common),8,5,3,9 (Least Common),7,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,3
9/11/25 15:55,I agree,79,USA,"Chinese, English (Australia, Canada, United Kingdom, USA)",7,8,6,5,3,2,9 (Least Common),1 (Most Common),4,Most common across countries,Religions – The major religions practiced in your country.,Very confident,4
9/11/25 16:01,I agree,80,India,"English (Australia, Canada, United Kingdom, USA), Indo-Iranian (Bangladesh, India, Iran, Pakistan, Sri Lanka)",3,2,6,1 (Most Common),8,7,5,9 (Least Common),4,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,3
9/11/25 16:09,I agree,81,Russia,Russian,2,4,3,1 (Most Common),6,8,7,9 (Least Common),5,Most common across countries,Currency – The main currency used in your country.,Very confident,5
9/11/25 16:10,I agree,82,USA,"English (Australia, Canada, United Kingdom, USA)",3,1 (Most Common),5,2,8,6,7,9 (Least Common),4,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Very confident,5
9/11/25 16:11,I agree,83,"Niger-Congo (Benin, Burkina Faso, Cameroon, Cote d'Ivoire, Gambia, Ghana, Guinea, Liberia, Nigeria, Senegal, Sierra Leone, Togo)","English (Australia, Canada, United Kingdom, USA), Niger-Congo (Benin, Burkina Faso, Cameroon, Cote d'Ivoire, Gambia, Ghana, Guinea, Liberia, Nigeria, Senegal, Sierra Leone, Togo)",2,4,5,1 (Most Common),8,7,6,9 (Least Common),3,Most common across countries,Languages – The most widely spoken languages in your country.,Somewhat confident,2
9/11/25 22:17,I agree,84,Indonesia,Indonesian,2,3,4,1 (Most Common),9 (Least Common),8,6,7,5,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Somewhat confident,5
